"";"date";"period";"trap";"ind";"sex";"wgt";"cap";"com";"trapsession";"station";"check";"trapline"
"1";2018-05-29;"june";"8";"1001";"m";52;"n";NA;1;1;2;NA
"2";2018-05-30;"june";"9";"1001";"m";52;NA;NA;1;1;3;NA
"3";2018-05-31;"june";"14";"1001";"m";52;NA;NA;1;1;2;NA
"4";2018-05-30;"june";"16";"1003";"m";48;"n";NA;1;2;1;NA
"5";2018-05-31;"june";"17";"1003";"m";46;NA;NA;1;2;2;NA
"6";2018-05-30;"june";"42";"1004";"m";48;"n";NA;1;2;3;NA
"7";2018-05-31;"june";"43";"1004";"m";49;NA;NA;1;2;1;NA
"8";2018-05-31;"june";"8";"1005";"m";54;"n";NA;1;1;2;NA
"9";2018-05-31;"june";"42";"1010";"f";29;"n";"årsunge";1;2;3;NA
"10";2018-05-29;"june";"16";"2002";"f";45;"n";NA;1;2;1;NA
"11";2018-05-30;"june";"17";"2002";"f";43;NA;NA;1;2;2;NA
"12";2018-05-31;"june";"16";"2002";"f";43;NA;NA;1;2;1;NA
"13";2018-07-10;"july";"18";"484";"m";53;"n";NA;2;2;3;NA
"14";2018-07-12;"july";"21";"484";"m";55;NA;NA;2;2;3;NA
"15";2018-07-09;"july";"29";"536";"f";27;"n";NA;2;3;2;NA
"16";2018-07-12;"july";"30";"536";"f";26;NA;NA;2;3;3;NA
"17";2018-07-12;"july";"27";"568";"f";30;"n";NA;2;3;3;NA
"18";2018-07-12;"july";"6";"579";"f";28;"n";NA;2;1;3;NA
"19";2018-07-12;"july";"41";"587";"n";40;"n";NA;2;3;2;NA
"20";2018-07-12;"july";"4";"632";"f";56;"n";NA;2;1;1;NA
"21";2018-07-10;"july";"41";"666";"f";36;"n";"døde";2;3;2;NA
"22";2018-07-09;"july";"18";"772";"f";50;"g";"merket 2002, døde";2;2;3;NA
"23";2018-07-09;"july";"14";"4b6";"m";45;"n";NA;2;1;2;NA
"24";2018-07-12;"july";"5";"4b6";"m";44;NA;NA;2;1;2;NA
"25";2018-07-10;"july";"6";"5bb";"m";42;"n";NA;2;1;3;NA
"26";2018-07-12;"july";"8";"5bb";"m";44;NA;NA;2;1;2;NA
"27";2018-07-10;"july";"15";"6a6";"m";47;"n";NA;2;2;3;NA
"28";2018-07-12;"july";"19";"6a6";"m";45;NA;NA;2;2;1;NA
"29";2018-07-12;"july";"33";"6ad";"f";26;"n";NA;2;3;3;NA
"30";2018-07-10;"july";"40";"6ca";"f";46;"g";"merket 1010";2;3;1;NA
"31";2018-07-12;"july";"32";"6ef";NA;45;"n";NA;2;3;2;NA
"32";2018-07-12;"july";"11";"76f";"m";43;"n";NA;2;1;2;NA
"33";2018-07-09;"july";"15";"79a";"f";38;"n";NA;2;2;3;NA
"34";2018-07-12;"july";"42";"79a";"f";36;NA;NA;2;2;3;NA
"35";2018-07-10;"july";"30";"7a4";"m";47;"n";NA;2;3;3;NA
"36";2018-07-12;"july";"31";"7a4";"m";47;NA;NA;2;3;1;NA
"37";2018-07-10;"july";"33";"7c4";"f";29;"n";NA;2;3;3;NA
"38";2018-07-12;"july";"35";"7c4";"f";29;NA;NA;2;3;2;NA
"39";2018-07-09;"july";"19";"7fa";"f";21;"n";NA;2;2;1;NA
"40";2018-07-12;"july";"38";"7fa";"f";21;NA;NA;2;3;2;NA
"41";2018-08-01;"august";"39";"438";"f";33;"n";NA;3;3;3;NA
"42";2018-08-02;"august";"31";"438";"f";32;NA;NA;3;3;1;NA
"43";2018-08-02;"august";"32";"439";"f";30;"n";NA;3;3;2;NA
"44";2018-08-02;"august";"2";"501";"m";52;"n";NA;3;1;2;NA
"45";2018-08-02;"august";"13";"520";"f";48;"n";NA;3;1;1;NA
"46";2018-07-31;"august";"16";"524";"f";22;"n";NA;3;2;1;NA
"47";2018-08-02;"august";"45";"524";"f";24;NA;NA;3;2;3;NA
"48";2018-07-31;"august";"40";"526";"f";36;"n";NA;3;3;1;NA
"49";2018-07-31;"august";"37";"530";"m";32;"n";NA;3;3;1;NA
"50";2018-08-02;"august";"33";"530";"m";34;NA;NA;3;3;3;NA
"51";2018-08-01;"august";"17";"542";"f";24;"n";NA;3;2;2;NA
"52";2018-07-31;"august";"30";"568";"f";42;"g";"pels";3;3;3;NA
"53";2018-08-02;"august";"30";"568";"f";42;NA;NA;3;3;3;NA
"54";2018-08-01;"august";"23";"577";"m";40;"n";NA;3;3;2;NA
"55";2018-08-01;"august";"8";"579";"f";50;"g";NA;3;1;2;NA
"56";2018-08-01;"august";"36";"607";"f";32;"n";NA;3;3;3;NA
"57";2018-08-01;"august";"42";"618";"f";31;"n";NA;3;2;3;NA
"58";2018-08-02;"august";"19";"618";"f";33;NA;NA;3;2;1;NA
"59";2018-08-01;"august";"10";"688";"f";22;"n";NA;3;1;1;NA
"60";2018-08-02;"august";"11";"688";"f";23;NA;NA;3;1;2;NA
"61";2018-08-02;"august";"14";"768";"f";35;"n";NA;3;1;2;NA
"62";2018-07-31;"august";"23";"800";"f";31;"n";NA;3;3;2;NA
"63";2018-07-31;"august";"42";"46a";"m";51;"n";NA;3;2;3;NA
"64";2018-08-01;"august";"18";"46a";"m";54;NA;NA;3;2;3;NA
"65";2018-08-02;"august";"17";"46a";"m";55;NA;NA;3;2;2;NA
"66";2018-07-31;"august";"45";"47a";"f";23;"n";NA;3;2;3;NA
"67";2018-08-02;"august";"41";"47a";"f";25;NA;NA;3;3;2;NA
"68";2018-08-01;"august";"4";"47d";"f";36;"n";NA;3;1;1;NA
"69";2018-07-31;"august";"15";"4a4";"f";38;"n";NA;3;2;3;NA
"70";2018-08-01;"august";"15";"4a4";"f";39;NA;NA;3;2;3;NA
"71";2018-08-02;"august";"15";"4a4";"f";39;NA;NA;3;2;3;NA
"72";2018-08-02;"august";"25";"4ae";"m";50;"n";NA;3;3;1;NA
"73";2018-08-01;"august";"2";"4b6";"m";49;"g";"pels";3;1;2;NA
"74";2018-08-02;"august";"38";"4c2";"m";47;"n";NA;3;3;2;NA
"75";2018-08-02;"august";"12";"4ea";"m";50;"n";NA;3;1;3;NA
"76";2018-07-31;"august";"11";"51a";"f";20;"n";NA;3;1;2;NA
"77";2018-08-01;"august";"12";"51a";"f";21;NA;NA;3;1;3;NA
"78";2018-08-02;"august";"11";"51a";"f";21;NA;NA;3;1;2;NA
"79";2018-08-01;"august";"29";"56b";"f";42;"g";NA;3;3;2;NA
"80";2018-07-31;"august";"21";"58e";"m";32;"n";NA;3;2;3;NA
"81";2018-08-01;"august";"14";"5c4";"f";39;"n";NA;3;1;2;NA
"82";2018-08-02;"august";"18";"5c4";"f";40;NA;NA;3;2;3;NA
"83";2018-08-01;"august";"40";"62a";"f";35;"n";NA;3;3;1;NA
"84";2018-08-02;"august";"41";"62a";"f";37;NA;NA;3;3;2;NA
"85";2018-08-01;"august";"16";"6a6";"m";49;"g";NA;3;2;1;NA
"86";2018-08-02;"august";"16";"6a6";"m";48;NA;NA;3;2;1;NA
"87";2018-08-01;"august";"33";"6b9";"f";33;"n";NA;3;3;3;NA
"88";2018-08-02;"august";"23";"6b9";"f";35;NA;NA;3;3;2;NA
"89";2018-07-31;"august";"41";"6ca";"f";56;"g";"?";3;3;2;NA
"90";2018-08-02;"august";"39";"6ca";"f";46;NA;NA;3;3;3;NA
"91";2018-07-31;"august";"39";"6db";"f";32;"n";NA;3;3;3;NA
"92";2018-08-02;"august";"39";"6db";"f";NA;NA;"født 7 unger";3;3;3;NA
"93";2018-08-01;"august";"31";"6ef";"m";52;"g";NA;3;3;1;NA
"94";2018-08-02;"august";"24";"6ef";"m";51;NA;NA;3;3;3;NA
"95";2018-08-02;"august";"37";"73e";"m";40;"n";NA;3;3;1;NA
"96";2018-07-31;"august";"43";"79a";"f";47;"n";"pels";3;2;1;NA
"97";2018-08-01;"august";"45";"79a";"f";45;NA;NA;3;2;3;NA
"98";2018-08-01;"august";"28";"7a4";"m";57;"g";NA;3;3;1;NA
"99";2018-08-02;"august";"26";"7a4";"m";52;NA;NA;3;3;2;NA
"100";2018-07-31;"august";"11";"7d7";"f";21;"n";NA;3;1;2;NA
"101";2018-08-01;"august";"11";"7d7";"f";20;NA;NA;3;1;2;NA
"102";2018-08-02;"august";"11";"7d7";"f";22;NA;NA;3;1;2;NA
"103";2018-08-02;"august";"37";"81b";"f";31;"n";NA;3;3;1;NA
"104";2018-09-03;"september";"25";"438";"f";48;"g";NA;4;3;1;NA
"105";2018-09-04;"september";"25";"438";"f";42;NA;NA;4;3;1;NA
"106";2018-09-05;"september";"30";"438";"f";46;NA;NA;4;3;3;NA
"107";2018-09-05;"september";"32";"439";"f";47;"g";NA;4;3;2;NA
"108";2018-09-03;"september";"13";"466";"m";51;"n";NA;4;1;1;NA
"109";2018-09-04;"september";"13";"466";"m";46;NA;NA;4;1;1;NA
"110";2018-09-05;"september";"12";"466";"m";46;NA;NA;4;1;3;NA
"111";2018-09-04;"september";"20";"487";"f";42;"n";NA;4;2;2;NA
"112";2018-09-05;"september";"21";"487";"f";42;NA;NA;4;2;3;NA
"113";2018-09-04;"september";"10";"520";"f";42;"g";NA;4;1;1;NA
"114";2018-09-04;"september";"33";"530";"m";47;"g";NA;4;3;3;NA
"115";2018-09-05;"september";"33";"530";"m";47;NA;NA;4;3;3;NA
"116";2018-09-03;"september";"26";"568";"f";58;"g";NA;4;3;2;NA
"117";2018-09-04;"september";"6";"579";"f";45;"g";NA;4;1;3;NA
"118";2018-09-04;"september";"19";"618";"f";48;"g";NA;4;2;1;NA
"119";2018-09-03;"september";"4";"632";"f";50;"g";NA;4;1;1;NA
"120";2018-09-04;"september";"4";"632";"f";42;NA;NA;4;1;1;NA
"121";2018-09-05;"september";"4";"632";"f";46;NA;NA;4;1;1;NA
"122";2018-09-03;"september";"11";"688";"f";39;"g";NA;4;1;2;NA
"123";2018-09-03;"september";"34";"689";"f";49;"g";NA;4;3;1;NA
"124";2018-09-04;"september";"27";"714";"m";22;"n";NA;4;3;3;NA
"125";2018-09-04;"september";"18";"721";"f";35;"g";NA;4;2;3;NA
"126";2018-09-04;"september";"16";"725";"m";21;"n";NA;4;2;1;NA
"127";2018-09-03;"september";"43";"761";"f";43;"n";NA;4;2;1;NA
"128";2018-09-05;"september";"17";"761";"f";36;NA;NA;4;2;2;NA
"129";2018-09-03;"september";"14";"768";"f";48;"g";NA;4;1;2;NA
"130";2018-09-05;"september";"14";"768";"f";47;NA;NA;4;1;2;NA
"131";2018-09-05;"september";"44";"783";"f";22;"n";NA;4;2;2;NA
"132";2018-09-04;"september";"42";"46a";"m";53;"g";NA;4;2;3;NA
"133";2018-09-05;"september";"42";"46a";"m";54;NA;NA;4;2;3;NA
"134";2018-09-05;"september";"27";"49b";"m";16;"n";NA;4;3;3;NA
"135";2018-09-03;"september";"2";"4b6";"m";50;"g";NA;4;1;2;NA
"136";2018-09-04;"september";"5";"4b6";"m";47;NA;NA;4;1;2;NA
"137";2018-09-05;"september";"2";"4b6";"m";47;NA;NA;4;1;2;NA
"138";2018-09-03;"september";"38";"4c2";"m";52;"g";NA;4;3;2;NA
"139";2018-09-05;"september";"28";"4c2";"m";46;NA;NA;4;3;1;NA
"140";2018-09-03;"september";"12";"4ea";"m";54;"g";NA;4;1;3;NA
"141";2018-09-04;"september";"12";"4ea";"m";53;NA;NA;4;1;3;NA
"142";2018-09-05;"september";"9";"4ea";"m";47;NA;NA;4;1;3;NA
"143";2018-09-03;"september";"40";"62a";"f";41;"g";NA;4;3;1;NA
"144";2018-09-04;"september";"40";"62a";"f";40;NA;NA;4;3;1;NA
"145";2018-09-05;"september";"39";"62a";"f";39;NA;NA;4;3;3;NA
"146";2018-09-03;"september";"45";"6a6";"m";53;"g";NA;4;2;3;NA
"147";2018-09-05;"september";"45";"6a6";"m";50;NA;NA;4;2;3;NA
"148";2018-09-04;"september";"23";"6b9";"f";47;"g";NA;4;3;2;NA
"149";2018-09-05;"september";"34";"6b9";"f";48;NA;NA;4;3;1;NA
"150";2018-09-03;"september";"41";"6ca";"f";53;"g";NA;4;3;2;NA
"151";2018-09-04;"september";"41";"6ca";"f";41;NA;NA;4;3;2;NA
"152";2018-09-05;"september";"41";"6ca";"f";45;NA;NA;4;3;2;NA
"153";2018-09-05;"september";"19";"6cc";"f";12;"n";NA;4;2;1;NA
"154";2018-09-03;"september";"39";"6db";"f";43;"g";NA;4;3;3;NA
"155";2018-09-04;"september";"39";"6db";"f";40;NA;NA;4;3;3;NA
"156";2018-09-05;"september";"40";"6db";"f";40;NA;NA;4;3;1;NA
"157";2018-09-04;"september";"38";"73e";"m";49;"g";NA;4;3;2;NA
"158";2018-09-04;"september";"15";"76e";"m";49;"n";NA;4;2;3;NA
"159";2018-09-04;"september";"43";"79a";"f";42;"g";NA;4;2;1;NA
"160";2018-09-04;"september";"31";"7a4";"m";50;"g";NA;4;3;1;NA
"161";2018-09-05;"september";"29";"7a4";"m";43;NA;NA;4;3;2;NA
"162";2018-09-03;"september";"36";"81b";"f";45;"g";NA;4;3;3;NA
"163";2018-09-04;"september";"36";"81b";"f";39;NA;NA;4;3;3;NA
"164";2018-09-05;"september";"36";"81b";"f";37;NA;NA;4;3;3;NA
"165";2018-09-05;"september";"16";"uuu";"f";45;"drept av røyskatt";NA;4;2;1;NA
"166";2018-09-13;"oktober";"29";"438";"f";37;"g";NA;5;3;2;NA
"167";2018-09-15;"oktober";"26";"438";"f";38;NA;NA;5;3;2;NA
"168";2018-09-13;"oktober";"31";"439";"f";45;"g";NA;5;3;1;NA
"169";2018-09-14;"oktober";"29";"439";"f";41;NA;NA;5;3;2;NA
"170";2018-09-15;"oktober";"25";"439";"f";40;NA;NA;5;3;1;NA
"171";2018-09-13;"oktober";"8";"477";"m";23;"n";NA;5;1;2;NA
"172";2018-09-14;"oktober";"8";"477";"m";21;NA;NA;5;1;2;NA
"173";2018-09-15;"oktober";"8";"477";"m";23;NA;NA;5;1;2;NA
"174";2018-09-14;"oktober";"3";"479";"f";31;"n";NA;5;1;3;NA
"175";2018-09-15;"oktober";"10";"538";"f";22;"g";NA;5;1;1;NA
"176";2018-09-13;"oktober";"2";"579";"f";38;"g";NA;5;1;2;NA
"177";2018-09-14;"oktober";"2";"579";"f";38;NA;NA;5;1;2;NA
"178";2018-09-15;"oktober";"2";"579";"f";35;NA;NA;5;1;2;NA
"179";2018-09-14;"oktober";"12";"662";"m";24;"n";NA;5;1;3;NA
"180";2018-09-14;"oktober";"45";"672";"m";26;"n";NA;5;2;3;NA
"181";2018-09-15;"oktober";"11";"688";"f";32;"g";NA;5;1;2;NA
"182";2018-09-13;"oktober";"30";"690";"m";43;"n";NA;5;3;3;NA
"183";2018-09-14;"oktober";"16";"725";"m";25;"g";NA;5;2;1;NA
"184";2018-09-15;"oktober";"44";"725";"m";24;NA;NA;5;2;2;NA
"185";2018-09-13;"oktober";"16";"761";"f";35;"g";NA;5;2;1;NA
"186";2018-09-13;"oktober";"42";"46a";"m";51;"g";NA;5;2;3;NA
"187";2018-09-15;"oktober";"1";"47c";"f";23;"n";NA;5;1;1;NA
"188";2018-09-13;"oktober";"17";"48a";"f";23;"n";NA;5;2;2;NA
"189";2018-09-15;"oktober";"39";"4c2";"m";46;"g";NA;5;3;3;NA
"190";2018-09-13;"oktober";"45";"51e";"m";24;"n";NA;5;2;3;NA
"191";2018-09-13;"oktober";"11";"54a";"f";35;"n";NA;5;1;2;NA
"192";2018-09-13;"oktober";"39";"5ca";"f";24;"n";NA;5;3;3;NA
"193";2018-09-13;"oktober";"39";"62a";"f";37;"g";NA;5;3;3;NA
"194";2018-09-14;"oktober";"41";"6ca";"f";43;"g";NA;5;3;2;NA
"195";2018-09-15;"oktober";"40";"6ca";"f";43;NA;NA;5;3;1;NA
"196";2018-09-13;"oktober";"41";"6db";"f";35;"g";NA;5;3;2;NA
"197";2018-09-13;"oktober";"34";"6fe";"f";38;"n";NA;5;3;1;NA
"198";2018-09-14;"oktober";"34";"6fe";"f";39;NA;NA;5;3;1;NA
"199";2018-09-15;"oktober";"34";"6fe";"f";36;NA;NA;5;3;1;NA
"200";2018-09-13;"oktober";"32";"73e";"m";44;"g";NA;5;3;2;NA
"201";2018-09-15;"oktober";"45";"79a";"f";38;"g";NA;5;2;3;NA
"202";2018-09-13;"oktober";"37";"81b";"f";35;"g";NA;5;3;1;NA
"203";2018-09-14;"oktober";"38";"81b";"f";31;NA;NA;5;3;2;NA
"204";2018-09-15;"oktober";"36";"81b";"f";32;NA;NA;5;3;3;NA
"205";2019-05-28;"june";"6";"479";"f";37;"g";NA;6;1;3;NA
"206";2019-05-26;"june";"44";"485";"f";30;"n";NA;6;2;2;NA
"207";2019-05-28;"june";"19";"502";"m";47;"n";NA;6;2;1;NA
"208";2019-05-26;"june";"1";"511";"m";47;"n";NA;6;1;1;NA
"209";2019-05-27;"june";"3";"511";"m";46;NA;NA;6;1;3;NA
"210";2019-05-27;"june";"27";"515";"m";50;"n";NA;6;3;3;NA
"211";2019-05-26;"june";"11";"538";"f";34;"g";NA;6;1;2;NA
"212";2019-05-27;"june";"10";"538";"f";33;NA;NA;6;1;1;NA
"213";2019-05-28;"june";"10";"538";"f";34;NA;NA;6;1;1;NA
"214";2019-05-27;"june";"6";"579";"f";45;"g";NA;6;1;3;NA
"215";2019-05-28;"june";"5";"579";"f";42;NA;NA;6;1;2;NA
"216";2019-05-26;"june";"30";"644";"f";48;"n";NA;6;3;3;NA
"217";2019-05-26;"june";"17";"662";"m";40;"g";NA;6;2;2;NA
"218";2019-05-27;"june";"19";"662";"m";41;NA;NA;6;2;1;NA
"219";2019-05-26;"june";"42";"672";"m";40;"g";NA;6;2;3;NA
"220";2019-05-28;"june";"43";"672";"m";41;NA;NA;6;2;1;NA
"221";2019-05-26;"june";"43";"678";"f";30;"n";NA;6;2;1;NA
"222";2019-05-28;"june";"44";"678";"f";32;NA;NA;6;2;2;NA
"223";2019-05-27;"june";"43";"683";"m";40;"n";NA;6;2;1;NA
"224";2019-05-26;"june";"10";"688";"f";38;"g";NA;6;1;1;NA
"225";2019-05-28;"june";"9";"688";"f";35;NA;NA;6;1;3;NA
"226";2019-05-28;"june";"16";"707";"m";43;"n";NA;6;2;1;NA
"227";2019-05-26;"june";"19";"718";"f";32;"n";NA;6;2;1;NA
"228";2019-05-27;"june";"40";"745";"m";47;"n";NA;6;3;1;NA
"229";2019-05-27;"june";"17";"761";"f";39;"g";NA;6;2;2;NA
"230";2019-05-27;"june";"24";"779";"f";28;"n";NA;6;3;3;NA
"231";2019-05-28;"june";"24";"779";"f";30;NA;NA;6;3;3;NA
"232";2019-05-28;"june";"32";"781";"m";41;"n";NA;6;3;2;NA
"233";2019-05-26;"june";"37";"798";"m";37;"n";NA;6;3;1;NA
"234";2019-05-27;"june";"42";"798";"m";37;NA;NA;6;2;3;NA
"235";2019-05-27;"june";"7";"820";"m";41;"n";NA;6;1;1;NA
"236";2019-05-26;"june";"40";"7e3";"m";45;"n";NA;6;3;1;NA
"237";2019-05-28;"june";"41";"7e3";"m";46;NA;NA;6;3;2;NA
"238";2019-05-26;"june";"9";"4a2";"m";39;"n";NA;6;1;3;NA
"239";2019-05-26;"june";"14";"4f9";"m";37;"n";NA;6;1;2;NA
"240";2019-05-27;"june";"15";"4f9";"m";38;NA;NA;6;2;3;NA
"241";2019-05-28;"june";"45";"4f9";"m";39;NA;NA;6;2;3;NA
"242";2019-05-26;"june";"13";"4fe";"m";44;"n";NA;6;1;1;NA
"243";2019-05-27;"june";"38";"50a";"m";40;"n";NA;6;3;2;NA
"244";2019-05-27;"june";"44";"50c";"f";NA;"n";"død";6;2;2;NA
"245";2019-05-27;"june";"14";"51a";"f";37;"g";NA;6;1;2;NA
"246";2019-05-28;"june";"13";"51a";"f";37;NA;NA;6;1;1;NA
"247";2019-05-28;"june";"8";"54f";"m";46;"n";NA;6;1;2;NA
"248";2019-05-26;"june";"3";"56c";"m";39;"n";NA;6;1;3;NA
"249";2019-05-28;"june";"1";"56c";"m";43;NA;NA;6;1;1;NA
"250";2019-05-26;"june";"31";"5a4";"m";45;"n";NA;6;3;1;NA
"251";2019-05-28;"june";"31";"5a4";"f";48;NA;NA;6;3;1;NA
"252";2019-05-27;"june";"31";"5b3";"m";42;"n";NA;6;3;1;NA
"253";2019-05-27;"june";"41";"5c6";"m";45;"n";NA;6;3;2;NA
"254";2019-05-26;"june";"27";"63d";"f";43;"n";NA;6;3;3;NA
"255";2019-05-27;"june";"24";"6ba";"m";41;"n";NA;6;3;3;NA
